question,solution,final_answer
"The ice rink sold 95 tickets for the afternoon skating session, for a total of $828. General admission tickets cost $10 each and youth tickets cost $8 each. How many general admission tickets were sold?","Step 1: Let's assume the number of general admission tickets sold as ""x"".
Step 2: The number of youth tickets sold can be calculated as 95 - x, since the total number of tickets sold is 95.
Step 3: The total revenue from general admission tickets can be calculated as 10x, since each general admission ticket costs $10.
Step 4: The total revenue from youth tickets can be calculated as 8(95 - x), since each youth ticket costs $8.
Step 5: The total revenue from both types of tickets is given as $828.
Step 6: Set up the equation: 10x + 8(95 - x) = 828.
Step 7: Simplify the equation: 10x + 760 - 8x = 828.
Step 8: Combine like terms: 2x + 760 = 828.
Step 9: Subtract 760 from both sides of the equation: 2x = 68.
Step 10: Divide both sides of the equation by 2: x = 34.
Step 11: Therefore, 34 general admission tickets were sold.",34
The box office sold 360 tickets to a concert at the college. The total receipts were $4170. General admission tickets cost $15 and student tickets cost $10. How many general admission tickets were sold?,"Step 1: Let's assume the number of general admission tickets sold as ""x"".
Step 2: Since the total number of tickets sold is 360, the number of student tickets sold would be 360 - x.
Step 3: The total revenue from general admission tickets would be the number of general admission tickets sold multiplied by the price of each ticket, which is 15x.
Step 4: The total revenue from student tickets would be the number of student tickets sold multiplied by the price of each ticket, which is 10(360 - x).
Step 5: The total revenue from both types of tickets is given as $4170.
Step 6: Set up the equation: 15x + 10(360 - x) = 4170.
Step 7: Simplify the equation: 15x + 3600 - 10x = 4170.
Step 8: Combine like terms: 5x + 3600 = 4170.
Step 9: Subtract 3600 from both sides of the equation: 5x = 570.
Step 10: Divide both sides of the equation by 5: x = 114.
Step 11: Therefore, 114 general admission tickets were sold.",114
Julie went to the post office and bought both $0.41 stamps and $0.26 postcards. She spent $51.40. The number of stamps was 20 more than twice the number of postcards. How many $0.41 stamps did she buy?,"Step 1: Let's assume the number of postcards Julie bought is ""x"".
Step 2: According to the problem, the number of stamps Julie bought is 20 more than twice the number of postcards. So, the number of stamps is 2x + 20.
Step 3: The cost of each stamp is $0.41, and the cost of each postcard is $0.26.
Step 4: The total cost of the stamps is (2x + 20) * $0.41.
Step 5: The total cost of the postcards is x * $0.26.
Step 6: The total amount Julie spent is the sum of the cost of stamps and the cost of postcards, which is (2x + 20) * $0.41 + x * $0.26.
Step 7: According to the problem, Julie spent $51.40, so we can set up the equation (2x + 20) * $0.41 + x * $0.26 = $51.40.
Step 8: Solve the equation to find the value of x, which represents the number of postcards Julie bought.
Step 9: Once we find the value of x, we can calculate the number of $0.41 stamps Julie bought by substituting the value of x into the expression 2x + 20.",100
Maria spent $12.50 at the post office. She bought three times as many $0.41 stamps as $0.02 stamps. How many $0.41 stamps did she buy?,"Step 1: Identify the amount of money Maria spent at the post office, which is $12.50.
Step 2: Let's assume Maria bought x $0.02 stamps.
Step 3: Determine the number of $0.41 stamps Maria bought, which is three times the number of $0.02 stamps. So, the number of $0.41 stamps is 3x.
Step 4: Calculate the total cost of the $0.02 stamps by multiplying the number of $0.02 stamps (x) by the cost per stamp ($0.02). The total cost is 0.02x dollars.
Step 5: Calculate the total cost of the $0.41 stamps by multiplying the number of $0.41 stamps (3x) by the cost per stamp ($0.41). The total cost is 0.41 * 3x = 1.23x dollars.
Step 6: Add the total cost of the $0.02 stamps and the total cost of the $0.41 stamps to find the total amount of money Maria spent. 0.02x + 1.23x = 12.50.
Step 7: Combine like terms on the left side of the equation. 1.25x = 12.50.
Step 8: Divide both sides of the equation by 1.25 to solve for x. x = 10.
Step 9: Substitute the value of x back into the expression for the number of $0.41 stamps. 3x = 3 * 10 = 30.
Step 10: Maria bought 30 $0.41 stamps.",30
Hilda has $210 worth of $10 and $12 stock shares. The numbers of $10 shares is five more than twice the number of $12 shares. How many $10 shares does she have?,"Step 1: Let's assume the number of $12 shares Hilda has is x.
Step 2: According to the problem, the number of $10 shares is five more than twice the number of $12 shares. So, the number of $10 shares is 2x + 5.
Step 3: The value of each $12 share is $12, so the total value of the $12 shares is 12x.
Step 4: Similarly, the value of each $10 share is $10, so the total value of the $10 shares is 10(2x + 5).
Step 5: The total value of all the shares is $210, so we can set up the equation 12x + 10(2x + 5) = 210.
Step 6: Simplify the equation: 12x + 20x + 50 = 210.
Step 7: Combine like terms: 32x + 50 = 210.
Step 8: Subtract 50 from both sides of the equation: 32x = 160.
Step 9: Divide both sides of the equation by 32: x = 5.
Step 10: Therefore, Hilda has 5 $12 shares.
Step 11: To find the number of $10 shares, substitute the value of x into the expression 2x + 5: 2(5) + 5 = 15.
Step 12: Therefore, Hilda has 15 $10 shares.",15
Lauren in making 15 liters of mimosas for a brunch banquet. Orange juice costs her $1.50 per liter and champagne costs her $12 per liter. How many liters of orange juice should she use for the mimosas to cost Lauren $5 per liter?,"Step 1: Identify the total amount of mimosas Lauren is making, which is 15 liters.
Step 2: Let's assume Lauren uses x liters of orange juice for the mimosas.
Step 3: The cost of orange juice per liter is $1.50, so the cost of x liters of orange juice is 1.50x dollars.
Step 4: The remaining amount of mimosas is (15 - x) liters, which will be filled with champagne.
Step 5: The cost of champagne per liter is $12, so the cost of (15 - x) liters of champagne is 12(15 - x) dollars.
Step 6: The total cost of the mimosas is the sum of the cost of orange juice and the cost of champagne, which should be equal to 15 liters multiplied by $5 per liter.
Step 7: Set up the equation: 1.50x + 12(15 - x) = 15 * 5.
Step 8: Simplify the equation: 1.50x + 180 - 12x = 75.
Step 9: Combine like terms: -10.50x + 180 = 75.
Step 10: Subtract 180 from both sides: -10.50x = -105.
Step 11: Divide both sides by -10.50: x = 10.
Step 12: Lauren should use 10 liters of orange juice for the mimosas to cost her $5 per liter.",10
Kaapo is mixing Kona beans and Maui beans to make 25 pounds of coffee blend. Kona beans cost Kaapo $15 per pound and Maui beans cost $24 per pound. How many pounds of Kona beans should Kaapo use for his blend to cost him $17.70 per pound?,"Step 1: Let's assume that Kaapo uses x pounds of Kona beans for his coffee blend.
Step 2: Since the total weight of the coffee blend is 25 pounds, the weight of the Maui beans used will be 25 - x pounds.
Step 3: The cost of the Kona beans used will be x pounds * $15 per pound = $15x.
Step 4: The cost of the Maui beans used will be (25 - x) pounds * $24 per pound = $24(25 - x).
Step 5: The total cost of the coffee blend will be the sum of the costs of the Kona and Maui beans, which is $15x + $24(25 - x).
Step 6: The cost per pound of the coffee blend should be $17.70 per pound, so we can set up the equation: ($15x + $24(25 - x)) / 25 = $17.70.
Step 7: Simplify the equation: (15x + 24(25 - x)) / 25 = 17.70.
Step 8: Distribute the 24: (15x + 600 - 24x) / 25 = 17.70.
Step 9: Combine like terms: (-9x + 600) / 25 = 17.70.
Step 10: Multiply both sides of the equation by 25 to eliminate the denominator: -9x + 600 = 442.50.
Step 11: Subtract 600 from both sides of the equation: -9x = -157.50.
Step 12: Divide both sides of the equation by -9 to solve for x: x = 17.50.
Step 13: Therefore, Kaapo should use 17.50 pounds of Kona beans for his coffee blend to cost him $17.70 per pound.",17.5
"As the treasurer of her daughter¡¯s Girl Scout troop, Laney collected money for some girls and adults to go to a 3-day camp. Each girl paid $75 and each adult paid $30. The total amount of money collected for camp was $765. If the number of girls is three times the number of adults, how many girls paid for camp?","Step 1: Let's assume the number of adults is x.
Step 2: According to the problem, the number of girls is three times the number of adults, so the number of girls is 3x.
Step 3: The cost for each girl is $75, so the total amount collected from the girls is 3x * $75 = $225x.
Step 4: The cost for each adult is $30, so the total amount collected from the adults is x * $30 = $30x.
Step 5: The total amount collected for camp is $765, so we can set up the equation: $225x + $30x = $765.
Step 6: Combine like terms: $255x = $765.
Step 7: Divide both sides of the equation by $255 to solve for x: x = $765 / $255 = 3.
Step 8: Therefore, the number of girls is 3x = 3 * 3 = 9.
Step 9: So, 9 girls paid for camp.",9
"An express train and a local train leave Pittsburgh to travel to Washington, D.C. The express train can make the trip in 4 hours and the local train takes 5 hours for the trip. The speed of the express train is 12 miles per hour faster than the speed of the local train. Find the speed of the express train, in miles per hour.","Step 1: Let's assume the speed of the local train is x miles per hour.
Step 2: Since the express train is 12 miles per hour faster than the local train, the speed of the express train is x + 12 miles per hour.
Step 3: We know that distance = speed ¡Á time. The distance traveled by both trains is the same, as they are traveling from Pittsburgh to Washington, D.C.
Step 4: The distance traveled by the express train is (x + 12) miles per hour ¡Á 4 hours = 4x + 48 miles.
Step 5: The distance traveled by the local train is x miles per hour ¡Á 5 hours = 5x miles.
Step 6: Since the distances are the same, we can set up the equation 4x + 48 = 5x.
Step 7: Subtract 4x from both sides of the equation to isolate the variable: 48 = x.
Step 8: Therefore, the speed of the express train is x + 12 = 48 + 12 = 60 miles per hour.",60
"Christopher and his parents live 115 miles apart. They met at a restaurant between their homes to celebrate his mother¡¯s birthday. Christopher drove 1.5 hours while his parents drove 1 hour to get to the restaurant. Christopher¡¯s average speed was 10 miles per hour faster than his parents¡¯ average speed. What were the average speed of Christopher as he drove to the restaurant, in miles per hour?","Step 1: Identify the distance between Christopher and his parents' homes, which is 115 miles.
Step 2: Determine the time it took for Christopher to drive to the restaurant, which is 1.5 hours.
Step 3: Determine the time it took for Christopher's parents to drive to the restaurant, which is 1 hour.
Step 4: Understand that Christopher's average speed was 10 miles per hour faster than his parents' average speed.
Step 5: Calculate the average speed of Christopher's parents by dividing the distance (115 miles) by the time (1 hour).
Step 6: Calculate Christopher's average speed by adding 10 miles per hour to his parents' average speed.
Step 7: The average speed of Christopher as he drove to the restaurant is the result obtained in Step 6.",50
Two truck drivers leave a rest area on the interstate at the same time. One truck travels east and the other one travels west. The truck traveling west travels at 70 mph and the truck traveling east has an average speed of 60 mph. How many hours will they travel before they are 325 miles apart?,"Step 1: Determine the speeds of the two trucks, with one traveling west at 70 mph and the other traveling east at 60 mph.
Step 2: Understand that the trucks are moving away from each other, so their speeds should be added together to find the rate at which they are moving apart. 
Step 3: Add the speeds of the two trucks: 70 mph + 60 mph = 130 mph.
Step 4: Recognize that the trucks are moving apart at a rate of 130 mph.
Step 5: Divide the distance they need to travel (325 miles) by the rate at which they are moving apart (130 mph) to find the time it takes for them to be 325 miles apart.
Step 6: Calculate the time by dividing 325 miles by 130 mph: 325 miles / 130 mph = 2.5 hours.
Step 7: Therefore, the two trucks will travel for 2.5 hours before they are 325 miles apart.",2.5
"When Katie Mae walks to school, it takes her 30 minutes. If she rides her bike, it takes her 15 minutes. Her speed is three miles per hour faster when she rides her bike than when she walks. What is her walking speed, in miles per hour?","Solution:
Step 1: Let's assume Katie Mae's walking speed is ""x"" miles per hour.
Step 2: Since she walks to school in 30 minutes, we can convert this time to hours by dividing it by 60. So, her walking time is 30/60 = 0.5 hours.
Step 3: Using the formula distance = speed * time, we can calculate the distance she walks as distance = x * 0.5.
Step 4: Similarly, let's assume her biking speed is ""x + 3"" miles per hour.
Step 5: Since she rides her bike to school in 15 minutes, we can convert this time to hours by dividing it by 60. So, her biking time is 15/60 = 0.25 hours.
Step 6: Using the same formula, we can calculate the distance she bikes as distance = (x + 3) * 0.25.
Step 7: Since the distance she walks and the distance she bikes are the same (as she is going to the same school), we can set up an equation: x * 0.5 = (x + 3) * 0.25.
Step 8: Solve the equation by multiplying both sides by 2 to eliminate the fraction: 2x * 0.5 = 2 * (x + 3) * 0.25.
Step 9: Simplify the equation: x = (x + 3) * 0.5.
Step 10: Distribute the 0.5 on the right side of the equation: x = 0.5x + 1.5.
Step 11: Subtract 0.5x from both sides of the equation: x - 0.5x = 0.5x + 1.5 - 0.5x.
Step 12: Simplify the equation: 0.5x = 1.5.
Step 13: Divide both sides of the equation by 0.5 to solve for x: x = 1.5 / 0.5.
Step 14: Simplify the equation: x = 3.
Step 15: Therefore, Katie Mae's walking speed is 3 miles per hour.",3
"Lilah is moving from Portland to Seattle. It takes her three hours to go by train. Mason leaves the train station in Portland and drives to the train station in Seattle with all Lilah¡¯s boxes in his car. It takes him 2.4 hours to get to Seattle, driving at 15 miles per hour faster than the speed of the train. Find Mason¡¯s speed, in miles per hour.","Step 1: Determine the time it takes for Lilah to travel from Portland to Seattle by train, which is 3 hours.
Step 2: Understand that Mason's travel time from Portland to Seattle is 2.4 hours.
Step 3: Determine that Mason's driving speed is 15 miles per hour faster than the speed of the train.
Step 4: Set up an equation to represent the relationship between the distance traveled by Lilah and Mason: Distance = Speed ¡Á Time.
Step 5: Let x be the speed of the train in miles per hour.
Step 6: Use the equation Distance = Speed ¡Á Time to find the distance traveled by Lilah: Distance = x ¡Á 3.
Step 7: Use the equation Distance = Speed ¡Á Time to find the distance traveled by Mason: Distance = (x + 15) ¡Á 2.4.
Step 8: Set up an equation to represent the relationship between the distances traveled by Lilah and Mason: Distance by Lilah = Distance by Mason.
Step 9: Set up the equation x ¡Á 3 = (x + 15) ¡Á 2.4.
Step 10: Solve the equation to find the value of x, which represents the speed of the train.
Step 11: Substitute the value of x into the equation x + 15 to find Mason's speed, in miles per hour.",75
"Two busses go from Sacramento for San Diego. The express bus makes the trip in 6.8 hours and the local bus takes 10.2 hours for the trip. The speed of the express bus is 25 mph faster than the speed of the local bus. Find the speed of the express bus, in mph.","Step 1: Let's assume the speed of the local bus is x mph.
Step 2: Since the express bus is 25 mph faster than the local bus, the speed of the express bus is x + 25 mph.
Step 3: We know that time = distance / speed. 
Step 4: The distance covered by both buses is the same, so we can set up the equation: 6.8 = 10.2.
Step 5: Substitute the values into the equation: 6.8 = distance / x and 10.2 = distance / (x + 25).
Step 6: Solve the equation 6.8 = distance / x for distance: distance = 6.8x.
Step 7: Solve the equation 10.2 = distance / (x + 25) for distance: distance = 10.2(x + 25).
Step 8: Since the distances are equal, we can set up the equation: 6.8x = 10.2(x + 25).
Step 9: Simplify the equation: 6.8x = 10.2x + 255.
Step 10: Subtract 10.2x from both sides: 6.8x - 10.2x = 255.
Step 11: Simplify the equation: -3.4x = 255.
Step 12: Divide both sides by -3.4: x = -75.
Step 13: The speed of the local bus is -75 mph, which is not possible in this context.
Step 14: Therefore, there is no solution to this problem.",75
"Saul drove his truck 3 hours from Dallas towards Kansas City and stopped at a truck stop to get dinner. At the truck stop he met Erwin, who had driven 4 hours from Kansas City towards Dallas. The distance between Dallas and Kansas City is 542 miles, and Erwin¡¯s speed was eight miles per hour slower than Saul¡¯s speed. Find the speed of Saul, in mph.","Step 1: Let's assume Saul's speed is x mph.
Step 2: Since Erwin's speed was eight miles per hour slower than Saul's speed, Erwin's speed is (x - 8) mph.
Step 3: Saul drove for 3 hours, so the distance he traveled is 3 * x miles.
Step 4: Erwin drove for 4 hours, so the distance he traveled is 4 * (x - 8) miles.
Step 5: The total distance between Dallas and Kansas City is 542 miles.
Step 6: Therefore, the equation is 3 * x + 4 * (x - 8) = 542.
Step 7: Simplify the equation: 3x + 4x - 32 = 542.
Step 8: Combine like terms: 7x - 32 = 542.
Step 9: Add 32 to both sides of the equation: 7x = 574.
Step 10: Divide both sides of the equation by 7: x = 82.
Step 11: The speed of Saul is 82 mph.",82
"Sisters Helen and Anne live 332 miles apart. For Thanksgiving, they met at their other sister¡¯s house partway between their homes. Helen drove 3.2 hours and Anne drove 2.8 hours. Helen¡¯s average speed was four miles per hour faster than Anne¡¯s. Find Helen¡¯s average speed, in miles per hour.","Step 1: Identify the distance between Helen and Anne's homes, which is 332 miles.
Step 2: Understand that Helen drove for 3.2 hours and Anne drove for 2.8 hours.
Step 3: Determine that Helen's average speed was four miles per hour faster than Anne's average speed.
Step 4: Let's assume Anne's average speed as x miles per hour.
Step 5: Helen's average speed can be expressed as (x + 4) miles per hour.
Step 6: Use the formula speed = distance / time to calculate the average speed.
Step 7: For Helen, the average speed is (332 miles / 3.2 hours) = 103.75 miles per hour.
Step 8: For Anne, the average speed is (332 miles / 2.8 hours) = 118.57 miles per hour.
Step 9: Set up the equation (x + 4) = 118.57.
Step 10: Solve the equation for x: x = 118.57 - 4 = 114.57 miles per hour.
Step 11: Therefore, Helen's average speed is 114.57 miles per hour.",57.2
"Elvira and Aletheia live 3.1 miles apart on the same street. They are in a study group that meets at a coffee shop between their houses. It took Elvira half an hour and Aletheia two-thirds of an hour to walk to the coffee shop. Aletheia¡¯s speed is 0.6 miles per hour slower than Elvira¡¯s speed. Find Elvira¡¯s walking speed, in miles per hour.","Step 1: Let's assume Elvira's walking speed is x miles per hour.
Step 2: Since Aletheia's speed is 0.6 miles per hour slower than Elvira's speed, Aletheia's walking speed would be (x - 0.6) miles per hour.
Step 3: Elvira took half an hour to walk to the coffee shop, which means she traveled a distance of 0.5x miles.
Step 4: Aletheia took two-thirds of an hour to walk to the coffee shop, which means she traveled a distance of (2/3)(x - 0.6) miles.
Step 5: The total distance between Elvira and Aletheia's houses is 3.1 miles.
Step 6: Therefore, the equation representing the total distance is 0.5x + (2/3)(x - 0.6) = 3.1.
Step 7: Simplify the equation: 0.5x + (2/3)x - (2/3)(0.6) = 3.1.
Step 8: Combine like terms: (0.5 + 2/3)x - (2/3)(0.6) = 3.1.
Step 9: Convert the fractions to a common denominator: (3/6 + 4/6)x - (2/3)(0.6) = 3.1.
Step 10: Simplify the fractions: (7/6)x - (2/3)(0.6) = 3.1.
Step 11: Multiply (2/3)(0.6): (7/6)x - (2/3)(3/5) = 3.1.
Step 12: Simplify (2/3)(3/5): (7/6)x - (6/15) = 3.1.
Step 13: Multiply (7/6)x by 15/15 to get a common denominator: (7/6)(15/15)x - (6/15) = 3.1.
Step 14: Simplify (7/6)(15/15)x: (105/90)x - (6/15) = 3.1.
Step 15: Combine like terms: (105/90)x - (6/15) = 3.1.
Step 16: Simplify the fractions: (7/6)x - (2/5) = 3.1.
Step 17: Add (2/5) to both sides of the equation: (7/6)x = 3.1 + (2/5).
Step 18: Convert 3.1 to a fraction: (7/6)x = (31/10) + (2/5).
Step 19: Find a common denominator for (31/10) and (2/5): (7/6)x = (31/10)(5/5) + (2/5)(2/2).
Step 20: Simplify the fractions: (7/6)x = (155/50) + (4/10).
Step 21: Combine like terms: (7/6)x = (155/50) + (2/5).
Step 22: Convert (155/50) to a mixed number: (7/6)x = 3 5/10 + 2/5.
Step 23: Simplify the mixed number: (7/6)x = 3 1/2 + 2/5.
Step 24: Convert 3 1/2 to an improper fraction: (7/6)x = (7/2) + 2/5.
Step 25: Find a common denominator for (7/2) and (2/5): (7/6)x = (7/2)(5/5) + (2/5)(2/2).
Step 26: Simplify the fractions: (7/6)x = (35/10) + (4/10).
Step 27: Combine like terms: (7/6)x = (35/10) + (2/5).
Step 28: Convert (35/10) to a mixed number: (7/6)x = 3 5/10 + 2/5.
Step 29: Simplify the mixed number: (7/6)x = 3 1/2 + 2/5.
Step 30: Convert 3 1/2 to an improper fraction: (7/6)x = (7/2) + 2/5.
Step 31: Find a common denominator for (7/2) and (2/5): (7/6)x = (",3
Cindy and Richard leave their dorm in Charleston at the same time. Cindy rides her bicycle north at a speed of 18 miles per hour. Richard rides his bicycle south at a speed of 14 miles per hour. How many hours will it take them to be 96 miles apart?,"Step 1: Understand that Cindy and Richard are leaving their dorm at the same time.
Step 2: Identify Cindy's speed, which is 18 miles per hour, and Richard's speed, which is 14 miles per hour.
Step 3: Recognize that Cindy is riding north and Richard is riding south, so they are moving in opposite directions.
Step 4: Determine that the distance between them is increasing at a rate of 18 + 14 = 32 miles per hour.
Step 5: Set up the equation: distance = rate ¡Á time.
Step 6: Let the time it takes for them to be 96 miles apart be represented by t.
Step 7: Use the equation: 96 = 32t.
Step 8: Solve for t by dividing both sides of the equation by 32: t = 96/32 = 3.
Step 9: The time it will take for Cindy and Richard to be 96 miles apart is 3 hours.",3
Two busses leave Billings at the same time. The Seattle bus heads west on I-90 at a speed of 73 miles per hour while the Chicago bus heads east at a speed of 79 miles an hour. How many hours will it take them to be 532 miles apart?,"Step 1: Identify the speeds of the two buses, with the Seattle bus traveling at 73 miles per hour and the Chicago bus traveling at 79 miles per hour.
Step 2: Understand that the buses are moving in opposite directions, so their speeds should be added together to determine the rate at which they are moving apart. 
Step 3: Add the speeds of the two buses: 73 miles per hour + 79 miles per hour = 152 miles per hour.
Step 4: Determine the time it will take for the buses to be 532 miles apart by dividing the distance by the rate at which they are moving apart: 532 miles / 152 miles per hour = 3.5 hours. 
Step 5: Therefore, it will take the two buses 3.5 hours to be 532 miles apart.",3.5
"Lorena walks the path around the park in 30 minutes. If she jogs, it takes her 20 minutes. Her jogging speed is 1.5 miles per hour faster than her walking speed. Find Lorena¡¯s walking speed, in miles per hour.","Step 1: Let's assume Lorena's walking speed is x miles per hour.
Step 2: Since Lorena walks the path in 30 minutes, we can convert this to hours by dividing by 60. So, her walking time is 30/60 = 0.5 hours.
Step 3: Using the formula distance = speed * time, we can calculate the distance Lorena walks as x * 0.5 = 0.5x miles.
Step 4: Similarly, since Lorena jogs the path in 20 minutes, her jogging time is 20/60 = 0.33 hours.
Step 5: Using the same formula, the distance Lorena jogs is (x + 1.5) * 0.33 = 0.33x + 0.495 miles.
Step 6: Since the distance walked and jogged is the same, we can set up the equation 0.5x = 0.33x + 0.495.
Step 7: Simplifying the equation, we get 0.17x = 0.495.
Step 8: Divide both sides of the equation by 0.17 to solve for x: x = 0.495 / 0.17.
Step 9: Evaluating the expression, we find x ¡Ö 2.91.
Step 10: Therefore, Lorena's walking speed is approximately 2.91 miles per hour.",3
"Cassius drives his boat upstream for 45 minutes. It takes him 30 minutes to return downstream. His speed going upstream is three miles per hour slower than his speed going downstream. Find his upstream speed, in miles per hour.","Step 1: Let's assume Cassius' speed downstream is x miles per hour.
Step 2: Since his speed upstream is three miles per hour slower, his speed upstream would be (x - 3) miles per hour.
Step 3: We know that time = distance / speed. Therefore, Cassius' time going upstream is 45 minutes and his time going downstream is 30 minutes.
Step 4: Convert the time to hours by dividing by 60. Cassius' time going upstream is 45/60 = 0.75 hours and his time going downstream is 30/60 = 0.5 hours.
Step 5: Using the formula time = distance / speed, we can write the equations: 0.75 = distance / (x - 3) and 0.5 = distance / x.
Step 6: Solve the equations simultaneously to find the value of x.",6
"Three-fourths of the people at a concert are children. If there are 87 children, what is the total number of people at the concert?","Step 1: Identify the number of children at the concert, which is 87.
Step 2: Understand that three-fourths of the people at the concert are children.
Step 3: Determine the total number of people at the concert by finding the reciprocal of three-fourths (which is four-thirds) and multiplying it by the number of children.
Step 4: Calculate the total number of people at the concert by multiplying 87 by four-thirds.
Step 5: Simplify the fraction four-thirds to a mixed number, which is 1 and one-third.
Step 6: Multiply 87 by 1 and one-third to find the total number of people at the concert.",116
The sum of a number and three is forty-one. Find the number.,"Step 1: Let's assume the number we need to find as ""x"".
Step 2: Translate the given statement into an equation: x + 3 = 41.
Step 3: Subtract 3 from both sides of the equation to isolate the variable: x = 41 - 3.
Step 4: Simplify the equation: x = 38.
Step 5: Therefore, the number we are looking for is 38.",38
What number is 67% of 250?,"Solution:
Step 1: Convert the percentage to a decimal by dividing it by 100. 67% becomes 0.67.
Step 2: Multiply the decimal by the given number. 0.67 * 250 = 167.5.
Step 3: Therefore, 67% of 250 is equal to 167.5.",167.5
12.5% of what number is 20?,"Step 1: Let's assume the unknown number as ""x"".
Step 2: Write the equation: 12.5% of x is equal to 20, which can be written as 0.125x = 20.
Step 3: To solve for x, divide both sides of the equation by 0.125: x = 20 / 0.125.
Step 4: Simplify the right side of the equation: x = 160.
Step 5: Therefore, the number is 160.",160
What percent of 125 is 150?,"Solution:
Step 1: Identify the given values, which are 125 and 150.
Step 2: Set up the equation: x% of 125 = 150.
Step 3: Rewrite the equation as a proportion: x/100 = 150/125.
Step 4: Cross multiply to solve for x: 125x = 15000.
Step 5: Divide both sides of the equation by 125 to isolate x: x = 15000/125.
Step 6: Simplify the expression: x = 120.
Step 7: The answer is 120%.",120
The bill for Dino¡¯s lunch was $19.45. He wanted to leave 20% of the total bill as a tip. How much should the tip be?,"Step 1: Identify the total bill amount, which is $19.45.
Step 2: Understand that Dino wants to leave a 20% tip on the total bill.
Step 3: Calculate the tip amount by multiplying the total bill by 20% (or 0.20).
Step 4: The tip amount should be $19.45 * 0.20 = $3.89.",3.89
Dolores bought a crib on sale for $350. The sale price was 40% of the original price. What was the original price of the crib?,"Step 1: Let's assume the original price of the crib is ""x"" dollars.
Step 2: We know that the sale price is 40% of the original price, so the sale price is 0.40x dollars.
Step 3: We are given that the sale price of the crib is $350, so we can set up the equation 0.40x = $350.
Step 4: To solve for x, divide both sides of the equation by 0.40: x = $350 / 0.40.
Step 5: Simplify the right side of the equation: x = $875.
Step 6: Therefore, the original price of the crib was $875.",875
"Angel¡¯s got a raise in his annual salary from $55,400 to $56,785. Find the percent increase.","Step 1: Identify the initial salary, which is $55,400.
Step 2: Identify the final salary, which is $56,785.
Step 3: Calculate the difference between the final salary and the initial salary: $56,785 - $55,400 = $1,385.
Step 4: Calculate the percent increase by dividing the difference by the initial salary and multiplying by 100: ($1,385 / $55,400) * 100 = 2.5%.
Step 5: The percent increase in Angel's annual salary is 2.5%.",2.5
Paulette has $140 in $5 and $10 bills. The number of $10 bills is one less than twice the number of $5 bills. How many $5 bills does she have?,"Step 1: Let's assume the number of $5 bills Paulette has is x.
Step 2: According to the problem, the number of $10 bills is one less than twice the number of $5 bills, which can be expressed as 2x - 1.
Step 3: The total value of the $5 bills is 5x.
Step 4: The total value of the $10 bills is 10(2x - 1) = 20x - 10.
Step 5: The total amount of money Paulette has is the sum of the values of the $5 and $10 bills, which is 5x + 20x - 10 = 25x - 10.
Step 6: According to the problem, Paulette has $140, so we can set up the equation 25x - 10 = 140.
Step 7: Solve the equation for x: 
          25x - 10 = 140
          25x = 150
          x = 6.
Step 8: Therefore, Paulette has 6 $5 bills.",6
A church luncheon made $842. Adult tickets cost $10 each and children¡¯s tickets cost $6 each. The number of children was 12 more than twice the number of adults. How many adult tickets were sold?,"Step 1: Let's assume the number of adult tickets sold is ""x"".
Step 2: According to the problem, the number of children's tickets sold is 12 more than twice the number of adults, which can be expressed as 2x + 12.
Step 3: The total revenue from adult tickets is given by multiplying the number of adult tickets (x) by the cost per adult ticket ($10), so it is 10x.
Step 4: The total revenue from children's tickets is given by multiplying the number of children's tickets (2x + 12) by the cost per children's ticket ($6), so it is 6(2x + 12).
Step 5: The total revenue from both adult and children's tickets is equal to the total revenue from the luncheon, which is $842. Therefore, we can set up the equation: 10x + 6(2x + 12) = 842.
Step 6: Simplify the equation: 10x + 12x + 72 = 842.
Step 7: Combine like terms: 22x + 72 = 842.
Step 8: Subtract 72 from both sides of the equation: 22x = 770.
Step 9: Divide both sides of the equation by 22: x = 35.
Step 10: The number of adult tickets sold is 35.",35
"125 tickets were sold for the jazz band concert for a total of $1,022. Student tickets cost $6 each and general admission tickets cost $10 each. How many student tickets were sold?","Step 1: Let's assume the number of student tickets sold as ""x"".
Step 2: The number of general admission tickets sold can be calculated as 125 - x, since the total number of tickets sold is 125.
Step 3: The total revenue from student tickets can be calculated as 6x, since each student ticket costs $6.
Step 4: The total revenue from general admission tickets can be calculated as 10(125 - x), since each general admission ticket costs $10.
Step 5: The total revenue from all tickets can be calculated as 1022, since the total revenue from all tickets sold is $1,022.
Step 6: Set up the equation: 6x + 10(125 - x) = 1022.
Step 7: Simplify the equation: 6x + 1250 - 10x = 1022.
Step 8: Combine like terms: -4x + 1250 = 1022.
Step 9: Move the constant term to the other side: -4x = 1022 - 1250.
Step 10: Simplify: -4x = -228.
Step 11: Divide both sides by -4 to solve for x: x = -228 / -4.
Step 12: Simplify: x = 57.
Step 13: The number of student tickets sold is 57.",57
